rozetka_row_id;site_category_id;site_category_name;site_category_visible;site_parent_id;rozetka_parent_id;rozetka_category_name;rozetka_exclude;products_count
4025;80001;;;;4628124;Фотоапарати;0;0
650;80002;;;;4628124;Відеокамери;0;0
2096;80003;;;;4627949;"Мобільні телефони";0;0
2432;80004;;;;80253;Ноутбуки;0;0
1748;80005;;;;80257;КПК;0;0
2285;80007;;;;80254;БФП/Принтери;0;0
3389;80010;;;;80257;Смартфоны;0;0
2022;80011;;;;80015;Медіаплеєри;0;0
2948;80012;;;;4670651;Проектори;0;0
3689;80015;;;;4627949;"Аксесуари для телевізорів";0;0
165;80016;;;;80257;MP3-плееры;0;0
166;80016;;;;80257;MP3-плееры;0;0
164;80016;;;;4627865;MP3-плеєри;0;0
738;80017;;;;80260;"Гаджеты и подарки";0;0
2944;80019;;;;80253;"Програмне забезпечення";0;0
1325;80020;;;;80261;"Ігрові консолі та дитячі приставки";0;0
4264;80021;;;;4670651;"Екрани для проекторів";0;0
953;80022;;;;4627865;Диктофони;0;0
4288;80023;;;;4627865;"Електронні книги";0;0
2551;80024;;;;80254;"Оригинальные расходные материалы";0;0
568;80025;;;;0;"Побутова техніка, інтер'єр";0;0
1640;80026;;;;80253;"Комп'ютерні комплектуючі";0;0
2398;80027;;;;4660594;Навушники;0;0
3354;80028;;;;80254;Сканери;0;0
3696;80029;;;;80254;"Телефонні апарати";0;0
3962;80030;;;;80254;Факсы;0;0
102;80032;;;;80263;Bluetooth-гарнитуры;0;0
101;80032;;;;80263;Bluetooth-гарнітури;0;0
3615;80036;;;;80256;"Сумки, рюкзаки та чохли для ноутбуків";0;0
3688;80037;;;;4627949;Телевізори;0;0
2337;80040;;;;4654503;"Навігаційні карти для GPS";0;0
3613;80041;;;;80259;"Сумки и чехлы фото/видео";0;0
997;80042;;;;80263;"Другие аксессуары";0;0
261;80043;;;;80256;"Аксессуары для ноутбуков";0;0
1469;80044;;;;4628124;"Карти пам'яті";0;0
4001;80045;;;;80256;"Флеш пам'ять USB";0;0
126;80047;;;;4654503;"GPS навигаторы";0;0
127;80047;;;;4654503;"GPS навигаторы";0;0
125;80047;;;;4654503;GPS-навігатори;0;0
129;80048;;;;80257;"GPS приёмники";0;0
130;80048;;;;80257;"GPS приёмники";0;0
128;80048;;;;4627865;GPS-приймачі;0;0
4124;80058;;;;4628124;"Цифрові фоторамки";0;0
2482;80060;;;;4628124;Об'єктиви;0;0
711;80061;;;;80259;Вспышки;0;0
351;80062;;;;80019;Антивіруси;0;0
2524;80063;;;;80019;"Операційні системи";0;0
2580;80064;;;;80019;"Офісні програми";0;0
2276;80065;;;;80019;"Мультимедіа, графіка і дизайн";0;0
1338;80066;;;;80261;Ігри;0;0
2669;80069;;;;80019;"Перекладачі та словники";0;0
3926;80070;;;;80015;"Універсальні пульти ДК";0;0
1774;80071;;;;80015;"Кріплення для телевізорів";0;0
1419;80073;;;;80263;"Кабелі та адаптери";0;0
4289;80074;;;;4627865;"Електронні перекладачі";0;0
4249;80075;;;;4628124;Штативи;0;0
2032;80077;;;;80025;"Дрібна побутова техніка";0;0
713;80078;;;;80025;"Вбудована техніка";0;0
1512;80079;;;;80025;"Кліматична техніка";0;0
1790;80080;;;;80025;"Велика побутова техніка";0;0
2523;80081;;;;80026;"Оперативна пам'ять";0;0
1997;80082;;;;80026;"Материнські плати";0;0
2984;80083;;;;80026;Процесори;0;0
1188;80084;;;;80026;"Жорсткі диски та дискові масиви";0;0
2536;80085;;;;80026;"Оптичні приводи";0;0
462;80086;;;;80026;"Блоки живлення";0;0
651;80087;;;;80026;Відеокарти;0;0
1285;80088;;;;80026;"Звукові карти";0;0
2119;80089;;;;80253;Монітори;0;0
1706;80090;;;;80026;Корпуси;0;0
1643;80095;;;;80253;"Комп'ютери, неттопи, моноблоки";0;0
3345;80099;;;;80026;"Системи охолодження";0;0
330;80100;;;;4671521;"Акустичні системи";0;0
2806;80102;;;;80019;"ПО для мобильных устройств";0;0
3209;80103;;;;80259;"Светофильтры, бленды и крышки для объективов";0;0
2336;80105;;;;4654503;"Навігаційне ПЗ";0;0
3183;80106;;;;4628418;"Сантехніка та меблі для ванної";0;0
1415;80108;;;;80026;"Джерела безперебійного живлення";0;0
3;80109;;;;80026;SSD;0;0
3309;80111;;;;80253;"Мережеве обладнання";0;0
1328;80112;;;;80255;"Ігрові поверхні";0;0
208;80113;;;;4654503;"Аксесуари до GPS-навігаторів";0;0
271;80114;;;;80256;"Аксессуары для ПК";0;0
3048;80115;;;;80019;"Розпізнавання тексту";0;0
376;80116;;;;80019;Архіватори;0;0
3960;80117;;;;80067;"Файлові менеджери";0;0
3337;80118;;;;80019;"Системні утиліти";0;0
3076;80119;;;;80067;"Резервне копіювання";0;0
1275;80120;;;;80067;"Защита данных";0;0
2973;80121;;;;80080;"Професійна техніка";0;0
2762;80122;;;;80080;"Кухонні плити";0;0
2897;80123;;;;80080;"Посудомийні машини";0;0
3549;80124;;;;80080;"Пральні машини";0;0
4082;80125;;;;80080;Холодильники;0;0
2587;80128;;;;80079;"Очисники повітря";0;0
3885;80130;;;;80079;"Зволожувачі повітря";0;0
477;80131;;;;82795;Бойлери;0;0
1652;80133;;;;80079;Кондиціонери;0;0
1346;80134;;;;80106;"Подрібнювачі харчових відходів";0;0
714;80137;;;;80078;"Вбудовані варильні поверхні";0;0
1840;80140;;;;80078;"Кухонні витяжки";0;0
715;80141;;;;80078;"Вбудовані духові шафи";0;0
4270;80142;;;;435974;"Електричні печі";0;0
1737;80143;;;;435974;Кавомолки;0;0
1925;80144;;;;435974;Скиборізки;0;0
3821;80145;;;;435974;Тостери;0;0
2682;80147;;;;80077;"Персональный уход";0;0
635;80148;;;;435974;"Ваги кухонні";0;0
252;80149;;;;80077;"Аксессуары для мелкой бытовой техники";0;0
4037;80150;;;;435974;Фритюрниці;0;0
2636;80151;;;;435964;Пароочисники;0;0
3414;80153;;;;435974;"Соковижималки (соковичавниці)";0;0
4076;80154;;;;435974;Хлібопічки;0;0
458;80155;;;;435974;Блендери;0;0
2073;80156;;;;435974;Міксери;0;0
2633;80157;;;;435974;Пароварки;0;0
3014;80158;;;;435964;Пилососи;0;0
4183;80159;;;;4629564;"Швейні машинки";0;0
4303;80160;;;;435974;Електрочайники;0;0
3944;80161;;;;435964;"Праски та прасувальні системи";0;0
