id,parent_id,name,google_name,facebook_name
125,202,Аксесуари,166,199
126,125,Рюкзаки та сумки,6551,112
127,125,Шапки та бейсболки,1604,113
128,125,Рукавиці,1604,207
129,125,Окуляри,178,177
130,125,Шарфи,180,251
131,125,Шкарпетки,188,105
132,125,Інше,166,530
133,202,Для чоловіків,166,218
134,133,Взуття,187,241
135,134,Шльопанці і сандалі,1876,352
136,134,Черевики та напівчеревики,187,241
137,134,Кеди,187,242
138,134,Кросівки,187,242
139,134,Футбольні бутси,187,242
140,133,Одяг,1604,160
141,140,Куртки та пальта,201,189
142,140,Джемпери та батники,212,246
143,140,Штани та шорти,182,213
144,140,Спортивні костюми,179,167
145,140,Футболки та сорочки,2121,219
146,140,Товари для плавання,1856,244
147,202,Для жінок,1604,166
148,147,Взуття,187,241
149,148,Черевики та напівчеревики,187,241
150,148,Чоботи,187,241
151,148,Кеди,187,242
152,148,Кросівки,187,242
153,148,Сандалі і шльопанці,1876,352
154,147,Одяг,1604,160
155,154,Джемпери та батники,212,246
156,154,Куртки та пальта,201,189
157,154,Штани та шорти,182,213
158,154,"Футболки та топи, сорочки",2121,219
159,154,Товари для плавання,1856,244
160,154,"Сукні, спідниці та туніки",2271,243
161,154,Спортивні костюми,179,167
162,202,Для дітей та підлітків,204,128
163,162,Одяг,1604,160
164,163,Одяг для дівчаток,204,128
165,164,"Штани, легінси та шорти",182,213
166,164,Товари для плавання,1856,244
167,163,Одяг для хлопчиків,204,128
168,167,Джемпери та батники,212,246
169,167,Штани та шорти,182,213
170,167,Спортивні костюми,179,167
171,167,Товари для плавання,1856,244
172,163,Підліткам,204,128
173,172,Куртки та пальта,201,189
174,172,Джемпери та батники,212,246
175,172,"Штани, легінси та шорти",182,213
176,172,"Сорочки, топи та футболки",2121,219
177,172,Товари для плавання,1856,244
178,172,Спортивні костюми,179,167
179,172,"Сукні, спідниці та туніки",2271,243
180,162,Взуття,187,241
181,180,Для хлопчиків,204,128
182,181,Черевики та напівчеревики,187,241
183,181,Чобітки,187,241
184,181,Кросівки,187,242
185,181,Сандалі та шльопанці,1876,352
186,180,Підліткам,204,128
187,186,Кросівки,187,242
188,186,Сандалі та шльопанці,1876,352
189,134,Чоботи,187,241
190,164,Куртки та пальта,201,189
191,167,Куртки та пальта,201,189
192,167,Футболки та сорочки,2121,219
193,164,Джемпери та батники,212,246
194,164,Футболки та топи,2121,219
195,186,Черевики та напівчеревики,187,241
196,186,Футбольні бутси,187,242
197,164,Спортивні костюми,179,167
198,181,Кеди,187,242
199,186,Чоботи,187,241
200,186,Кеди,187,242
202,0,Одяг та взуття,166,529
250,0,Мілітарі,542,2096
252,250,Взуття військове,5949,2102
253,250,Тактичні жилети,5949,2096
254,250,Тактичні рукавиці,5949,2099
255,250,Форма військова,5385,2096
256,250,Футболки тактичні,2121,219
257,250,Куртки тактичні,5385,2096
258,250,"Рюкзаки, сумки та підсумки тактичні",5949,2096
259,250,Шорти тактичні,1821,213
260,250,Штани військові,5385,2096
261,250,Сорочки військові,2047,219
262,250,"Шапки, кепки та панами військові",5949,2096
263,0,Мілітарі,542,2096
266,250,Ножі та інструменти,420,234
267,250,Тактичне спорядження,542,2096
268,250,Тактичні та військові Аксесуари,5949,2096
269,250,Нашивки та погони,5949,2096
270,250,Джемпери та світшоти військові,212,246
272,252,Черевики зимові,187,241
